,Unnamed: 0,Bedrooms,Bathrooms,Furnishing,Tennants,Area,Price,Locality,Postal_code
47,47,3 BHK Apartment,2,Semi-Furnished,Bachelors,1834 sqft,"40,000"," My Home Avatar, Narsingi, Outer Ring Road ",500089
48,48,2 BHK Apartment,1,Unfurnished,Bachelors/Family,975 sqft,"12,000"," Mir Alam Tank, NH ",500264
49,49,4 BHK Apartment,1,Semi-Furnished,Bachelors,2080 sqft,"20,000", Medchal Road ,No code
50,50,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,2500 sqft,"45,000"," Banjara Hills, NH ",500034
51,51,1 BHK Apartment,1,Unfurnished,Bachelors/Family,East Facing Property,"14,000", Kondapur,No code
52,52,3 BHK Apartment,2,Unfurnished,Bachelors/Family,2500 sqft,"50,000"," Banjara Hills, NH ",500034
53,53,4 BHK Apartment,1,Unfurnished,Bachelors/Family,2300 sqft,"18,000"," Peerzadiguda, NH ",No code
54,54,1 BHK Builder Floor,1,Unfurnished,Bachelors,read more,"15,000", Kondapur,No code
55,55,2 BHK Apartment,1,Unfurnished,Bachelors,1100 sqft,"24,000", Hakimpet-Hyderabad ,No code
56,56,Studio Apartment,North,Furnished,Family,,"14,000"," Banjara Hills, NH ",500034
57,57,2 BHK Apartment,North,Unfurnished,Bachelors/Family,1000 sqft,"13,000"," Sitaphalmandi, Padmarao Nagar ",No code
58,58,3 BHK Service Apartment,1,Semi-Furnished,Bachelors/Family,1350 sqft,"32,000"," Mohans Sai Signature, Nanakram Guda ",500032
59,59,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1685 sqft,"35,000"," Kokapet, Outer Ring Road ",No code
60,60,3 BHK Apartment,3,Semi-Furnished,Family,1800 sqft,"32,000"," Khairatabad, NH ",No code
61,61,3 BHK Apartment,4,Semi-Furnished,Bachelors/Family,2580 sqft,"48,000", Whitefields ,73078
62,62,3 BHK Apartment,,Bachelors/Family,3,1800 sqft,"25,000", Appa junction ,500075
63,63,3 BHK Apartment,East,Semi-Furnished,Family,1550 sqft,"16,500"," Suvarna Valley, Miyapur, NH ",500049
64,64,3 BHK Apartment,1,Semi-Furnished,Bachelors,1250 sqft,"13,000"," Sun City, Bandlaguda, Chevella Road ",No code
65,65,2 BHK Builder Floor,2,Semi-Furnished,Family,1200 sqft,"20,000"," Nallagandla, Serilingampally ",500019
66,66,3 BHK Apartment,Immediately,Furnished,Bachelors/Family,1440 sqft,"20,000"," Aparna Kanopy Tulip, Kompally ",501401
67,67,3 BHK Apartment,2,Furnished,Bachelors,1610 sqft,"25,000", Raghuram A,
68,68,1 BHK Builder Floor,1,Furnished,Bachelors/Family,East Facing Property,"18,000", Jubilee,74108
69,69,3 BHK Builder Floor,2,Unfurnished,Bachelors,2000 sqft,"35,000"," Banjara Hills, NH ",500034
70,70,3 BHK Apartment,3,Furnished,Bachelors/Family,2200 sqft,"48,000"," Green Habitat, Kondapur ",500084
71,71,3 BHK Apartment,1,Unfurnished,Bachelors/Family,1500 sqft,"25,000"," Kukatpally, NH ",500090
72,72,3 BHK Apartment,1,Furnished,Bachelors/Family,1400 sqft,"18,000", Haripuri colony ,No code
73,73,3 BHK Apartment,1,Semi-Furnished,Family,1500 sqft,"28,000"," Brindavan Residency, Domalguda, Himayath Nagar, NH ",500029
74,74,3 BHK Builder Floor,2,Semi-Furnished,Bachelors/Family,1750 sqft,"27,000"," Barkatpura, Kachiguda, NH ",500027
75,75,3 BHK Apartment,1,Semi-Furnished,Bachelors,1834 sqft,"40,000"," My Home Avatar, Narsingi, Outer Ring Road ",500089
76,76,Studio Apartment,Main Road,Furnished,Bachelors/Family,read more,"36,000", Kavuri Hills,No code
77,77,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1314 sqft,"28,000"," My Home Avatar, Narsingi, Outer Ring Road ",500089
78,78,3 BHK Apartment,North - East,Semi-Furnished,Bachelors/Family,1300 sqft,"22,000"," Shankara Kranthi Apartment, Kavadiguda, NH ",No code
79,79,3 BHK Apartment,2,Semi-Furnished,Family,1500 sqft,"22,000"," Hyder Nagar, NH ",500090
80,80,2 BHK Apartment,1,Unfurnished,Bachelors/Family,read more,"26,000", Kondapur,No code
81,81,3 BHK Apartment,2,Unfurnished,Bachelors,1825 sqft,"35,000"," Chandanagar, NH ",500050
82,82,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1675 sqft,"35,000"," Srinagar Colony, Old Malakpet, NH ",500036
83,83,2 BHK Apartment,2,Unfurnished,Bachelors,910 sqft,"20,000"," Old Nallakunta, New Nallakunta ",No code
84,84,3 BHK Apartment,3,Unfurnished,Bachelors,2000 sqft,"20,000", Bandlaguda Jagir ,No code
85,85,3 BHK Apartment,3,Semi-Furnished,Bachelors/Family,2100 sqft,"30,000"," Srinivas Nagar, Rhoda Mistri Nagar ",No code
86,86,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1000 sqft,"12,000", Shamshabad ,501218
87,87,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1620 sqft,"25,000", Gajularamaram ,No code
88,88,3 BHK Apartment,3,Semi-Furnished,Family,1480 sqft,"31,000"," Vertex Panache, Gachibowli, Outer Ring Road ",500075
89,89,3 BHK Apartment,2,Unfurnished,Bachelors,3200 sqft,"45,000"," Sri Sairam Sharada, Banjara Hills, NH ",No code
90,90,2 BHK Apartment,1,Semi-Furnished,Bachelors,975 sqft,"15,000"," Miyapur, NH ",500049
91,91,1 BHK Builder Floor,1,Unfurnished,Bachelors/Family,read more,"12,000", Bikshapathi Nagar,No code
92,92,3 BHK Apartment,2,Semi-Furnished,Bachelors,1834 sqft,"40,000"," My Home Avatar, Narsingi, Outer Ring Road ",500089
93,93,2 BHK Apartment,2,Semi-Furnished,Bachelors,1150 sqft,"16,500"," Gandhi Nagar, Kavadiguda, NH ",No code
94,94,3 BHK Apartment,2,Unfurnished,Bachelors,1395 sqft,"15,000"," Golden Heights Colony, Janachaitanya colony, Hyderabad Expressway ",No code
95,95,3 BHK Apartment,2,Unfurnished,Bachelors,1925 sqft,"27,000"," Sri Nainas Sunrise, Manikonda, Outer Ring Road ",500089
96,96,3 BHK Apartment,3,Semi-Furnished,Family,1860 sqft,"22,000"," NGRI, Secunderabad ",No code
97,97,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1200 sqft,"17,500", Mehdipatnam ,No code
98,98,3 BHK Builder Floor,2,Semi-Furnished,Bachelors,1510 sqft,"12,000"," ARK Homes, Bolarum, Medchal Road ",500010
99,99,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,100 sqyrd,"9,000", Narapally ,561207
100,100,3 BHK Apartment,West,Semi-Furnished,Family,1414 sqft,"23,000"," RDB Coconut Grove, Miyapur, NH ",500049
101,101,2 BHK Apartment,East,Semi-Furnished,Bachelors/Family,1100 sqft,"13,000"," New Bowenpally, NH ",500011
102,102,3 BHK Apartment,Immediately,Unfurnished,Bachelors/Family,1700 sqft,"18,000", Karwan ,98499
103,103,4 BHK Builder Floor,1,Semi-Furnished,Bachelors,2300 sqft,"28,000"," Ramanthapur, NH ",500013
104,104,3 BHK Apartment,2,Semi-Furnished,Family,3000 sqft,"45,000"," Hafeezpet, NH ",No code
105,105,3 BHK Apartment,East,Unfurnished,Bachelors,1610 sqft,"11,000", Nizampet ,No code
106,106,3 BHK Builder Floor,3,Unfurnished,Bachelors/Family,1630 sqft,"20,000"," Alkapuri, LB Nagar, NH ",500035
107,107,2 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,915 sqft,"15,000"," Vidyanagar, Adikmet ",No code
108,108,2 BHK Apartment,2,Unfurnished,Bachelors,1255 sqft,"17,000", Adibatla ,501510
109,109,3 BHK Apartment,3,Semi-Furnished,Bachelors/Family,1960 sqft,"32,000"," Aparna Sarovar Grande, Nallagandla, Serilingampally ",500019
110,110,2 BHK Apartment,1,Unfurnished,Bachelors/Family,1425 sqft,"15,000", Maruthi Nagar ,No code
111,111,3 BHK Apartment,2,Unfurnished,Bachelors,read more,"45,000", Narsingi,No code
112,112,3 BHK Apartment,1,Unfurnished,Bachelors,1835 sqft,"38,000"," My Home Avatar, Narsingi, Outer Ring Road ",500089
113,113,Studio Apartment,East,Furnished,Bachelors/Family,read more,"25,000", Kondapur,No code
114,114,3 BHK Apartment,East,Unfurnished,Bachelors/Family,1834 sqft,"36,000"," My Home Avatar, Narsingi, Outer Ring Road ",500089
115,115,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1890 sqft,"22,000"," Swarnandhra Colony, Secunderabad ",500094
116,116,3 BHK Builder Floor,1,Semi-Furnished,Bachelors/Family,1745 sqft,"26,000"," Concrete Palazzo, Raghavendra Nagar-Nacharam ",500076
117,117,3 BHK Apartment,West,Unfurnished,Bachelors,2490 sqft,"40,000"," Rajapushpa Atria, Gachibowli, Outer Ring Road ",500075
118,118,4 BHK Apartment,1,Furnished,Bachelors/Family,East Facing Property,"35,000", Puppalaguda,No code
119,119,3 BHK Apartment,2,Semi-Furnished,Family,1260 sqft,"18,000", Near Habsiguda Metro Station ,500007
120,120,3 BHK Apartment,1,Semi-Furnished,Family,1610 sqft,"20,000"," Bommarillu Apartments, Manikonda, Outer Ring Road ",500089
121,121,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,2000 sqft,"45,000"," D Address, Hitech City ",500081
122,122,3 BHK Apartment,2,Furnished,Bachelors/Family,1680 sqft,"35,000"," Accurate Wind Chimes, Narsingi, Outer Ring Road ",500089
123,123,3 BHK Apartment,2,Unfurnished,Bachelors,1990 sqft,"36,000"," Aditya Empress Towers, Shaikpet ",500008
124,124,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,2000 sqft,"24,000"," Miyapur, NH ",500049
125,125,3 BHK Apartment,2,Unfurnished,Bachelors/Family,1750 sqft,"22,000"," Kalyan Puri, Secunderabad ",500039
126,126,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1500 sqft,"32,000"," Aparna Hill park Silver oaks, Bandam Kommu ",500050
127,127,4 BHK Apartment,2,Unfurnished,Bachelors,2200 sqft,"48,000"," Gachibowli, Outer Ring Road ",No code
128,128,3 BHK Apartment,1,Semi-Furnished,Bachelors,1100 sqft,"16,000", Sivaji Nagar-Chandanagar ,500133
129,129,3 BHK Apartment,West,Furnished,Bachelors/Family,1468 sqft,"27,000"," Nallagandla, Serilingampally ",500019
130,130,2 BHK Apartment,1,Semi-Furnished,Bachelors,1000 sqft,"11,500"," Beeramguda, Ramachandra Puram, NH ",502032
131,131,4 BHK Apartment,2,Semi-Furnished,Family,2800 sqft,"50,000"," Kokapet, Outer Ring Road ",No code
132,132,3 BHK Apartment,1,Unfurnished,Bachelors,1380 sqft,"30,000", Sai Aishwarya Layout-Manikonda ,500089
133,133,3 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1650 sqft,"23,000"," Manikonda, Outer Ring Road ",No code
134,134,3 BHK Apartment,2,Semi-Furnished,Family,1440 sqft,"30,000", Kondapur ,No code
