,Bedrooms,Bathrooms,Furnishing,Tennants,Area,Price,Locality
807,3 BHK Apartment,3,Semi-Furnished,Bachelors/Family,1781 sqft,"30,000"," Khaja Guda, Outer Ring Road "
808,3 BHK Apartment,2,Semi-Furnished,Family,2130 sqft,"24,000"," Srila Park Pride, Kukatpally, NH "
809,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1908 sqft,"48,000"," SMR Vinay Iconia, Kondapur "
810,2 BHK Apartment,1,Furnished,Bachelors/Family,1100 sqft,"16,000", West Marredpally 
811,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1050 sqft,"14,000"," Gandhi Nagar, Kavadiguda, NH "
812,2 BHK Apartment,1,Semi-Furnished,Bachelors,1350 sqft,"16,000"," Manikonda, Outer Ring Road "
813,2 BHK Apartment,2,Furnished,Bachelors/Family,read more,"15,000", Sangareddy
814,2 BHK Apartment,East,Furnished,Bachelors/Family,1120 sqft,"18,000"," Basheer Bagh, NH "
815,3 BHK Apartment,East,Semi-Furnished,Family,1500 sqft,"27,000"," Gachibowli, Outer Ring Road "
816,2 BHK Apartment,1,Unfurnished,Bachelors/Family,1350 sqft,"15,000"," Gulshan Colony, Qutub Shahi Tombs "
817,3 BHK Apartment,2,Unfurnished,Bachelors,1865 sqft,"31,500"," Indu Fortune Fields apartments, Hitech City "
818,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1008 sqft,"14,000"," Miyapur, NH "
819,4 BHK Builder Floor,East,Semi-Furnished,Bachelors/Family,4000 sqft,"25,000"," Saptagiri Colony, Kukatpally, NH "
820,2 BHK Builder Floor,East,Unfurnished,Bachelors,East Facing Property,"6,500", Sai Prasanna Enclave
821,2 BHK Builder Floor,2,Unfurnished,Bachelors/Family,1060 sqft,"7,500"," Mallapur Village, Balapur "
822,1 BHK Apartment,1,Unfurnished,Bachelors/Family,read more,"10,000"," Gandhi Nagar, Kavadiguda, NH "
823,2 BHK Apartment,1,Furnished,Family,1100 sqft,"15,000"," Green Park, Jeedimetla, NH "
824,2 BHK Builder Floor,Immediately,Semi-Furnished,Bachelors/Family,1100 sqft,"22,000", Kondapur 
825,3 BHK Builder Floor,Immediately,Unfurnished,Bachelors/Family,1500 sqft,"18,000", Mehdipatnam 
826,1 BHK Apartment,From Jan '20,Furnished,Bachelors/Family,NaN,"8,500", Pragathi Nagar
827,3 BHK Builder Floor,Same Premise,Semi-Furnished,Bachelors/Family,1400 sqft,"30,000", BHEL 
828,2 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1160 sqft,"15,000", Mallapur 
